year,time,zone,BA,Unit Name,Unit Type,Description,nameplate_MW,Primary Fuel,State,County
2020,182,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,183,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,184,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,185,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,186,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,187,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,188,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,189,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,190,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,191,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,192,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,193,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,194,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,195,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,196,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,197,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,198,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,199,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,200,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,201,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,202,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,203,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,204,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,205,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,206,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,207,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,208,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,209,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,210,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,211,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,212,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,213,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,214,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,215,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,216,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,217,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,218,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,219,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,220,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,221,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,222,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,223,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,224,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,225,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,226,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,227,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,228,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,229,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,230,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,231,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,232,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,233,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,234,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,235,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,236,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,237,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,238,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,239,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,240,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,241,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,242,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,243,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,244,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,245,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,246,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,247,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,248,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,249,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,250,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,251,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,252,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,253,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,254,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,255,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,256,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,257,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,258,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,259,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,260,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,261,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,262,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,263,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,264,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,265,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,266,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,267,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,268,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,269,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,270,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,271,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,272,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,273,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,274,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,275,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,276,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,277,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,278,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,279,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,280,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,281,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,282,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,283,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,284,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,285,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,286,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,287,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,288,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,289,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,290,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,291,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,292,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,293,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,294,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,295,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,296,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,297,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,298,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,299,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,300,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,301,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,302,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,303,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,304,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,305,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,306,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,307,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,308,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,309,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,310,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,311,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,312,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,313,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,314,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,315,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,316,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,317,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,318,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,319,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,320,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
2020,321,WACO,WACM,Carousel,WT,Wind turbine,150,WND,CO,Kit Carson
